Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
269,29,40.153691,38.275457,0.980671,1.000000
270,28,41.382629,39.448800,0.980742,1.000000
271,28,42.070931,40.151131,0.980813,1.000000
272,29,41.587357,39.689623,0.980884,1.000000
273,29,41.587357,39.689623,0.980954,1.000000
274,29,41.587357,39.689623,0.981023,1.000000
275,29,41.587357,39.689623,0.981092,1.000000
276,29,41.587357,39.689623,0.981161,1.000000
277,29,41.587357,39.689623,0.981229,1.000000
278,30,41.114774,39.238605,0.981296,1.000000
279,31,40.652810,38.797722,0.981364,1.000000
280,31,40.652810,38.797722,0.981430,1.000000
281,32,40.201112,38.366636,0.981496,1.000000
282,32,40.201112,38.366636,0.981562,1.000000
283,32,40.201112,38.366636,0.981627,1.000000
284,32,40.201112,38.366636,0.981692,1.000000
285,32,40.201112,38.366636,0.981756,1.000000
286,33,39.759342,37.945024,0.981820,1.000000
287,33,39.759342,37.945024,0.981883,1.000000
288,33,39.759342,37.945024,0.981946,1.000000
289,33,39.759342,37.945024,0.982008,1.000000
290,33,39.759342,37.945024,0.982070,1.000000
291,33,39.759342,37.945024,0.982132,1.000000
292,33,39.759342,37.945024,0.982193,1.000000
293,32,41.101043,39.154909,0.982254,1.000000
294,33,40.654293,38.729313,0.982314,1.000000
295,33,40.654293,38.729313,0.982374,1.000000
296,33,40.654293,38.729313,0.982434,1.000000
297,33,40.654293,38.729313,0.982493,1.000000
298,33,40.654293,38.729313,0.982552,1.000000
299,33,40.654293,38.729313,0.982610,1.000000
300,33,40.654293,38.729313,0.982668,1.000000
301,32,41.940386,39.982027,0.982726,1.000000
302,32,41.940386,39.982027,0.982783,1.000000
303,32,41.940386,39.982027,0.982840,1.000000
304,32,41.940386,39.982027,0.982896,1.000000
305,32,41.940386,39.982027,0.982952,1.000000
306,30,44.532375,42.546300,0.983008,1.000000
307,30,44.532375,42.546300,0.983063,1.000000
308,31,44.053532,42.088813,0.983118,1.000000
309,31,44.053532,42.088813,0.983173,1.000000
310,30,45.358917,43.303447,0.983227,1.000000
311,30,45.358917,43.303447,0.983281,1.000000
312,30,45.358917,43.303447,0.983335,1.000000
313,31,44.876375,42.842772,0.983388,1.000000
314,30,46.118389,44.067196,0.983441,1.000000
315,30,46.118389,44.067196,0.983493,1.000000
316,31,45.632932,43.603331,0.983546,1.000000
317,31,45.632932,43.603331,0.983598,1.000000
318,32,45.157589,43.149129,0.983649,1.000000
319,33,44.692047,42.704293,0.983700,1.000000
320,32,46.709439,44.717834,0.983751,1.000000
321,32,46.709439,44.717834,0.983802,1.000000
322,32,46.709439,44.717834,0.983852,1.000000
323,32,46.709439,44.717834,0.983902,1.000000
324,32,46.709439,44.717834,0.983952,1.000000
325,32,46.709439,44.717834,0.984001,1.000000
326,32,46.709439,44.717834,0.984050,1.000000
327,32,46.709439,44.717834,0.984099,1.000000
328,32,46.709439,44.717834,0.984148,1.000000
329,31,48.012287,45.968268,0.984196,1.000000
330,32,47.527314,45.503942,0.984244,1.000000
331,32,47.527314,45.503942,0.984291,1.000000
332,32,47.527314,45.503942,0.984339,1.000000
