,L,Mean n-L
564,564,91.83495327291853
565,565,91.83661373520785
566,566,91.83827932192418
567,567,91.83995003337851
568,568,91.8416208124292
569,569,91.84329165908034
570,570,91.84496257333603
571,571,91.84663861296
572,572,91.84831472040139
573,573,91.84999089566432
574,574,91.8516721968195
575,575,91.85335862417804
576,576,91.85504511977986
577,577,91.85673674200271
578,578,91.85842337420581
579,579,91.86011513324296
580,580,91.86180190206395
581,581,91.86347356279973
582,582,91.86514529118945
583,583,91.86681708723718
584,584,91.86848389185688
585,585,91.87015076393807
586,586,91.87181770348484
587,587,91.87348976989861
588,588,91.87516190399093
589,589,91.87683916536804
590,590,91.87851649463671
591,591,91.88018883199418
592,592,91.88186123704664
593,593,91.8835337097982
594,594,91.885206250253
595,595,91.88687885841514
596,596,91.88854141365071
597,597,91.89019391534927
598,598,91.89184648394802
599,599,91.89348899819842
600,600,91.89513157894737
601,601,91.8967843478613
602,602,91.89844730555893
603,603,91.90010526955078
604,604,91.90176330067212
605,605,91.90342139892702
606,606,91.90507956431955
607,607,91.9067377968538
608,608,91.90839609653385
609,609,91.9100696483165
610,610,91.91173820611459
611,611,91.91340176962481
612,612,91.91506540050214
613,613,91.91672909875068
614,614,91.91839286437452
615,615,91.92006682190949
616,616,91.92175097197473
617,617,91.92343012777677
618,618,91.9251093515856
619,619,91.92679370608128
620,620,91.92847812879708
621,621,91.93014743109418
622,622,91.93181173802098
623,623,91.93347611236001
624,624,91.93513549092677
625,625,91.93679493670886
626,626,91.93845444971038
627,627,91.94010896643914
628,628,91.94176355019039
629,629,91.94341820096818
630,630,91.94507291877659
631,631,91.94672770361969
632,632,91.94838255550154
633,633,91.95003747442624
634,634,91.95169752461209
635,635,91.95336270637091
636,636,91.955038084434
637,637,91.95670846585499
638,638,91.95837891495482
639,639,91.9600443670104
640,640,91.96170482171799
641,641,91.96336027877388
642,642,91.96501580290936
643,643,91.9666713941285
644,644,91.96831692195478
645,645,91.96995238577652
646,646,91.97158791587309
647,647,91.9732184467003
648,648,91.97484904360512
649,649,91.97647970659156
650,650,91.97810030395136
651,651,91.97972096699021
652,652,91.98133662965064
653,653,91.98295235779277
654,654,91.98456308515381
655,655,91.98617387779917
656,656,91.98778473573282
657,657,91.98939565895871
658,658,91.99100664748084
659,659,91.99261770130317
660,660,91.99422375354682
661,661,91.99583493787875
662,662,91.9974461875228
663,663,91.99905243529197
664,664,92.00065874817578
665,665,92.0022600587818
666,666,92.00386143430494
667,667,92.00546287474916
668,668,92.00706438011838
669,669,92.0086608826093
670,670,92.01025744982769
671,671,92.01185408177746
672,672,92.01345584657801
673,673,92.01506274454152
674,674,92.0166747759802
675,675,92.01828180435885
676,676,92.01988382937313
677,677,92.02148591934797
678,678,92.02308807428733
679,679,92.02469029419517
680,680,92.02629257907543
681,681,92.02789999797238
682,682,92.02950748205524
683,683,92.03112010057384
684,684,92.03273785384054
685,685,92.03435567271622
686,686,92.03597862675913
687,687,92.0376117859388
688,688,92.03924501135626
689,689,92.04087323315285
690,690,92.04249645102414
691,691,92.04412987487072
692,692,92.0457785754847
693,693,92.04742734297362
694,694,92.04908124771833
695,695,92.05074029003144
696,696,92.05239939964304
697,697,92.05405857655721
698,698,92.05572289156626
699,699,92.05738220320075
700,700,92.0590365111562
701,701,92.0606858151281
702,702,92.06233518601161
703,703,92.06398969511329
704,704,92.06563919993509
705,705,92.0672887716807
706,706,92.0689384103542
707,707,92.07058811595967
708,708,92.07223788850118
